nominee,nr_wins,nr_nominations,globes_index
 Topol,2,2,3
Aaron Eckhart,0,1,1
Aaron Paul,0,1,1
Aaron Taylor-Johnson,1,1,2
Abbey Lincoln,0,1,1
Adam Beach,0,1,1
Adam Driver,0,2,1
Adam Sandler,0,1,1
Adolph Caesar,0,1,1
Adriana Barraza,0,1,1
Adrien Brody,0,1,1
Adrienne Barbeau,0,1,1
Agnes Moorehead,2,2,3
Aileen Quinn,0,2,1
Akim Tamiroff,1,1,2
Al Pacino,4,18,3
Alain Delon,0,1,1
Alan Alda,6,15,3
Alan Arkin,1,8,2
Alan Bates,0,4,1
Alan Cumming,0,2,1
Alan Rachins,0,1,1
Alan Rickman,1,1,2
Alan Thicke,0,1,1
Albert Brooks,0,1,1
Albert Finney,3,9,3
Alberto Sordi,1,3,2
Aldo Ray,0,1,1
Alec Baldwin,3,11,3
Alec Guinness,1,3,2
Alec McCowen,0,1,1
Alex Borstein,0,1,1
Alexander Knox,1,1,2
Alexander Skarsgård,1,1,2
Alfre Woodard,1,3,2
Alfred Molina,0,1,1
Ali MacGraw,2,2,3
Alicia Silverstone,0,1,1
Alicia Vikander,0,2,1
Alida Valli,0,1,1
Alison Brie,0,2,1
Allison Janney,1,6,2
Allison Tolman,0,1,1
Allyce Beasley,0,1,1
Amanda Blake,0,3,1
Amanda Donohoe,1,1,2
Amanda Plummer,0,1,1
Amber Tamblyn,0,1,1
America Ferrera,1,3,2
Amy Adams,2,9,3
Amy Brenneman,0,3,1
Amy Irving,0,2,1
Amy Madigan,1,3,2
Amy Poehler,1,3,2
Amy Ryan,0,1,1
Amy Schumer,0,1,1
Ana de Armas,0,1,1
Andie MacDowell,0,3,1
Andre Braugher,0,2,1
Andrea Marcovicci,0,1,1
Andrew Garfield,0,2,1
Andrew Scott,0,1,1
Andrew Stevens,0,1,1
Andy Garcia,0,2,1
Andy Kaufman,0,2,1
Andy Samberg,1,1,2
Andy Serkis,0,1,1
Andy Williams,0,1,1
Angel Tompkins,0,1,1
Angela Bassett,1,1,2
Angela Lansbury,6,15,3
Angelina Jolie,3,6,3
Angie Dickinson,2,5,3
Anita Ekberg,1,1,2
Anita Skinner,0,1,1
Anjelica Huston,1,8,2
Ann Dowd,0,1,1
Ann Jillian,1,2,2
Ann Sothern,0,1,1
Ann Turkel,0,1,1
Ann-Margret,5,10,3
Anna Calder Marshall,0,1,1
Anna Friel,0,1,1
Anna Kendrick,0,1,1
Anna Magnani,1,3,2
Anna Paquin,1,5,2
Anne Archer,0,1,1
Anne Bancroft,2,8,3
Anne Baxter,1,1,2
Anne Ditchburn,0,1,1
Anne Francis,1,1,2
Anne Hathaway,1,3,2
Anne Heywood,0,1,1
Anne Jeffreys,0,1,1
Anne Meara,0,1,1
Anne Ramsey,0,1,1
Annette Bening,2,9,3
Annette O'Toole,0,1,1
Annie Potts,0,1,1
Anouk Aimée,1,1,2
Ansel Elgort,0,1,1
Anson Williams,0,1,1
Anthony Anderson,0,2,1
Anthony Andrews,1,2,2
Anthony Edwards,1,4,2
Anthony Franciosa,1,3,2
Anthony Hopkins,0,7,1
Anthony LaPaglia,1,1,2
Anthony Perkins,1,1,2
Anthony Quayle,0,1,1
Anthony Quinn,0,5,1
Antonio Banderas,0,5,1
Antonio Sábato,0,1,1
Archie Panjabi,0,1,1
Armand Assante,0,4,1
Armie Hammer,0,1,1
Arnold Schwarzenegger,1,2,2
Art Carney,1,1,2
Art Garfunkel,0,1,1
Arthur Kennedy,1,2,2
Ashley Judd,0,2,1
Assaf Dayan,0,1,1
Audra Lindley,0,2,1
Audrey Hepburn,1,9,2
Ava Gardner,0,1,1
Awkwafina,1,1,2
Aziz Ansari,1,2,2
Barbara Bain,0,1,1
Barbara Bel Geddes,0,3,1
Barbara Carrera,0,2,1
Barbara Eden,0,2,1
Barbara Hancock,0,2,1
Barbara Harris,0,4,1
Barbara Hershey,1,3,2
Barbara Mandrell,0,1,1
Barbara Rush,1,2,2
Barbara Sigel,0,1,1
Barbara Stanwyck,1,4,2
Barbra Streisand,2,9,3
Barkhad Abdi,0,1,1
Barry Bostwick,1,1,2
Barry Coe,1,1,2
Barry Fitzgerald,1,1,2
Barry Miller,0,1,1
Barry Newman,0,1,1
Barry Pepper,0,1,1
Beah Richards,0,1,1
Beanie Feldstein,0,1,1
Beatrice Arthur,0,9,1
Beau Bridges,2,4,3
Bella Darvi,2,3,3
Ben Affleck,0,1,1
Ben Gazzara,0,3,1
Ben Johnson,1,1,2
Ben Kingsley,2,8,3
Ben Mendelsohn,0,1,1
Ben Platt,0,1,1
Ben Shenkman,0,1,1
Ben Vereen,0,2,1
Ben Whishaw,1,1,2
Benedict Cumberbatch,0,3,1
Benicio del Toro,1,1,2
Bernadette Peters,1,3,2
Bernie Mac,0,2,1
Beryl Reid,0,1,1
Beth Howland,0,4,1
Bette Davis,0,3,1
Bette Midler,4,8,3
Betty Garrett,1,1,2
Betty Hutton,0,1,1
Betty White,0,4,1
Beverly D'Angelo,0,1,1
Beyoncé,0,1,1
Bill Cosby,2,5,3
Bill Hader,0,2,1
Bill Murray,1,6,2
Bill Nighy,1,3,2
Bill Paxton,0,4,1
Billy Bob Thornton,2,6,3
Billy Crystal,0,3,1
Billy Porter,0,2,1
Bing Crosby,0,1,1
Bitty Schram,0,1,1
Björk,0,1,1
Blair Brown,0,2,1
Blair Underwood,0,2,1
Blythe Danner,0,1,1
Bo Derek,0,1,1
Bob Hope,0,2,1
Bob Hoskins,1,3,2
Bob Newhart,1,7,2
Bob Odenkirk,0,3,1
Bobby Darin,1,3,2
Bonnie Bedelia,0,1,1
Bonnie Franklin,0,2,1
Bonnie Hunt,0,2,1
Brad Davis,1,2,2
Brad Dourif,1,1,2
Brad Pitt,2,6,3
Bradford Dillman,1,1,2
Bradley Cooper,0,3,1
Bradley Whitford,0,3,1
Brenda Blethyn,1,3,2
Brenda Fricker,0,1,1
Brenda Vaccaro,1,3,2
Brendan Gleeson,0,3,1
Brendon Boone,0,1,1
Brett Butler,0,2,1
Brett Halsey,1,1,2
Brian Cox,1,2,2
Brian Dennehy,1,1,2
Brian McNamara,0,1,1
Bridget Fonda,0,2,1
Brie Larson,1,1,2
Broderick Crawford,1,1,2
Brooke Shields,0,2,1
Bruce Davison,1,1,2
Bruce Dern,0,3,1
Bruce Weitz,0,2,1
Bruce Willis,1,4,2
Bryan Brown,0,1,1
Bryan Cranston,1,7,2
Bryce Dallas Howard,0,1,1
Bud Cort,0,1,1
Burgess Meredith,0,1,1
Burl Ives,1,1,2
Burt Lancaster,1,5,2
Burt Reynolds,2,7,3
Bérénice Bejo,0,1,1
Caitriona Balfe,0,4,1
Calista Flockhart,1,5,2
Callie Thorne,0,1,1
Cameron Diaz,0,4,1
Camilla Sparv,1,1,2
Camryn Manheim,1,2,2
Candice Bergen,2,13,3
Cantinflas,1,2,2
Capucine,0,1,1
Cara Williams,0,1,1
Carey Mulligan,0,1,1
Carl Anderson,0,2,1
Carl Betz,1,1,2
Carol Burnett,5,16,3
Carol Channing,1,1,2
Carol Kane,0,1,1
Carol Lynley,0,2,1
Carolyn Jones,1,2,2
Carrie Snodgress,2,2,3
Carroll Baker,2,3,3
Carroll O'Connor,1,11,2
Cary Grant,0,5,1
Casey Affleck,1,2,2
Cate Blanchett,3,10,3
Catherine Keener,0,2,1
Catherine Zeta-Jones,0,2,1
Cathy Moriarty,0,2,1
Cathy Tyson,0,1,1
Cecilia Peck,0,1,1
Celeste Holm,1,1,2
Celia Kaye,1,1,2
Cesar Romero,0,1,1
Chad Everett,0,2,1
Charles Boyer,0,1,1
Charles Durning,1,4,2
Charles Grodin,0,1,1
Charles Laughton,0,1,1
Charles S. Dutton,0,1,1
Charlie Sheen,1,3,2
Charlize Theron,1,6,2
Charlotte Rampling,0,1,1
Charlton Heston,0,3,1
Cher,3,6,3
Chevy Chase,0,2,1
Chief Dan George,0,1,1
Chiwetel Ejiofor,0,5,1
Chloë Sevigny,1,2,2
Chris Colfer,1,1,2
Chris Cooper,1,1,2
Chris Noth,0,2,1
Chris O'Donnell,0,1,1
Chris Sarandon,0,1,1
Chrissy Metz,0,2,1
Christian Bale,2,5,3
Christian Slater,1,3,2
Christina Applegate,0,4,1
Christina Ricci,0,1,1
Christine Baranski,0,2,1
Christine Kaufmann,1,1,2
Christine Lahti,2,8,3
Christoph Waltz,2,3,3
Christopher Abbott,0,1,1
Christopher Atkins,0,1,1
Christopher Burke,0,1,1
Christopher George,0,1,1
Christopher Plummer,1,4,2
Christopher Reeve,0,1,1
Christopher Walken,0,1,1
Cicely Tyson,0,1,1
Cillian Murphy,0,1,1
Cindy Robbins,0,1,1
Cindy Williams,0,1,1
Claire Danes,4,5,3
Claire Foy,1,3,2
Clark Gable,0,2,1
Claudette Colbert,1,1,2
Claudia McNeil,0,1,1
Cliff Robertson,0,1,1
Clifton Webb,1,2,2
Clive Owen,1,3,2
Clive Revill,0,1,1
Cloris Leachman,1,4,2
Colette Marchand,1,1,2
Colin Farrell,1,2,2
Colin Firth,1,2,2
Colin Hanks,0,1,1
Colm Meaney,0,1,1
Connie Britton,0,2,1
Connie Sellecca,0,1,1
Constance Wu,0,1,1
Corbin Bernsen,0,2,1
Cordula Trantow,0,1,1
Corey Stoll,0,1,1
Courteney Cox,0,1,1
Courtney B. Vance,0,1,1
Courtney Love,0,1,1
Craig T. Nelson,0,4,1
Cuba Gooding Jr.,0,1,1
Cybill Shepherd,3,6,3
Cyd Charisse,0,1,1
Cynthia Erivo,0,1,1
Cynthia Gibb,0,1,1
Cynthia Nixon,0,5,1
Cyril Delevanti,0,1,1
Dabney Coleman,1,3,2
Daliah Lavi,0,1,1
Damian Lewis,1,4,2
Dan Dailey,1,2,2
Dana Delaney,0,2,1
Dana Wynter,1,1,2
Daniel Benzali,0,1,1
Daniel Brühl,0,2,1
Daniel Craig,0,1,1
Daniel Day-Lewis,2,8,3
Daniel J. Travanti,1,5,2
Daniel Kaluuya,0,1,1
Daniel Massey,1,2,2
Danielle Brisebois,0,1,1
Danny Aiello,0,1,1
Danny DeVito,1,6,2
Danny Huston,0,1,1
Danny Kaye,2,5,3
Danny Thomas,0,1,1
Darleen Carr,0,1,1
Darren Criss,1,1,2
David Brian,0,1,1
David Carradine,0,4,1
David Caruso,1,1,2
David Doyle,0,1,1
David Duchovny,2,8,3
David Frost,0,1,1
David Harbour,0,1,1
David Hartman,0,1,1
David Hyde-Pierce,0,5,1
David Janssen,1,3,2
David Keith,0,2,1
David Ladd,0,2,1
David McCallum,0,1,1
David Niven,2,3,3
David Oyelowo,0,2,1
David Paymer,0,2,1
David Spade,0,2,1
David Strathairn,0,2,1
David Thewlis,0,1,1
Dean Jones,0,1,1
Dean Martin,1,5,2
Dean Stockwell,1,5,2
Dean-Paul Martin,0,1,1
Debbie Allen,1,3,2
Debbie Reynolds,0,4,1
Deborah Kerr,1,4,2
Deborah Raffin,0,1,1
Debra Messing,0,9,1
Debra Winger,0,5,1
"Deep End, The",0,1,1
Della Reese,0,1,1
Delores Taylor,0,1,1
Demi Moore,0,2,1
Denis Leary,0,2,1
Denise Nicholas,0,3,1
Dennis Christopher,0,1,1
Dennis Franz,1,2,2
Dennis Haysbert,0,1,1
Dennis Hopper,0,2,1
Dennis Quaid,0,2,1
Denzel Washington,2,9,3
Derek Jacobi,0,1,1
Desi Arnaz Jr.,1,1,2
Dev Patel,0,1,1
Dexter Gordon,0,1,1
Diahann Carroll,1,3,2
Diana Rigg,0,1,1
Diana Ross,1,3,2
Diane Baker,0,2,1
Diane Keaton,2,9,3
Diane Ladd,1,4,2
Diane Lane,0,3,1
Diane Varsi,1,1,2
Diane Venora,0,1,1
Dianne Wiest,1,4,2
Dick Van Dyke,0,2,1
Dinah Shore,0,1,1
Dirk Bogarde,0,2,1
Djimon Hounsou,0,1,1
Dolly Parton,0,3,1
Dom De Luise,0,1,1
Dominic West,0,2,1
Don Adams,0,1,1
Don Cheadle,2,5,3
Don Johnson,1,2,2
Donald Glover,1,2,2
Donald O'Connor,1,1,2
Donald Sutherland,2,8,3
Donna Butterworth,0,1,1
Donna Pescow,0,1,1
Donna Reed,1,1,2
Doris Day,0,6,1
Dorothy Dandridge,0,1,1
Dorothy Loudon,0,1,1
Dorothy Malone,0,3,1
Doug McKeon,0,1,1
Drea de Matteo,0,1,1
Drew Barrymore,1,3,2
Dudley Moore,2,4,3
Dustin Hoffman,5,13,3
Dyan Cannon,1,4,2
Dylan McDermott,1,3,2
E. G. Marshall,0,1,1
Earl Holliman,1,2,2
Ed Asner,5,11,3
Ed Begley,0,1,1
Ed Begley Jr.,0,1,1
Ed Harris,2,6,3
Ed O'Neill,0,2,1
Ed Wynn,0,1,1
Eddie Albert,0,2,1
Eddie Murphy,1,6,2
Eddie Redmayne,1,2,2
Edgar Ramírez,0,2,1
Edie Falco,2,11,3
Edith Evans,1,2,2
Edmond O'Brien,2,3,3
Edmund Gwenn,2,2,3
Edward Albert,1,2,2
Edward James Olmos,2,4,3
Edward Norton,1,2,2
Edward Woodward,1,2,2
Efrem Zimbalist Jr.,1,4,2
Eileen Atkins,0,1,1
Eileen Brennan,1,2,2
Eileen Heckart,1,1,2
Elaine May,0,1,1
Eleanor Parker,0,1,1
Elena Verdugo,0,1,1
Eli Wallach,0,1,1
Elisabeth Moss,2,4,3
Elisabeth Shue,0,1,1
Elizabeth Ashley,0,1,1
Elizabeth Hartman,1,3,2
Elizabeth McGovern,0,1,1
Elizabeth Montgomery,0,4,1
Elizabeth Perkins,0,2,1
Elizabeth Taylor,1,4,2
Elke Sommer,1,1,2
Ellen Barkin,0,2,1
Ellen Burstyn,1,7,2
Ellen Corby,2,5,3
Ellen DeGeneres,0,3,1
Ellen Page,0,1,1
Ellen Pompeo,0,1,1
Elliott Gould,0,1,1
Elsa Lanchester,1,1,2
Elsie Fisher,0,1,1
Emily Blunt,1,6,2
Emily McLaughlin,0,1,1
Emily Watson,0,5,1
Emma Stone,1,5,2
Emma Thompson,1,9,2
Emmy Rossum,0,1,1
Eric McCormack,0,6,1
Eric Roberts,0,3,1
Eric Stoltz,0,1,1
Eric Stonestreet,0,3,1
Erich von Stroheim,0,1,1
Erik Estrada,0,1,1
Eriq La Salle,0,1,1
Ernest Borgnine,1,2,2
Estelle Getty,1,3,2
Estelle Hemsley,0,1,1
Esther Rolle,0,1,1
Ethan Hawke,0,1,1
Ethel Merman,1,1,2
Eva Green,0,1,1
Eva Longoria,0,1,1
Eva Marie Saint,0,1,1
Evan Rachel Wood,0,3,1
Evangeline Lilly,0,1,1
Ewa Aulin,0,1,1
Ewan McGregor,1,3,2
F. Murray Abraham,1,1,2
Faith Ford,0,2,1
Farrah Fawcett,0,6,1
Fay Bainter,0,1,1
Faye Dunaway,3,11,3
Felicity Huffman,1,7,2
Felicity Jones,0,1,1
Fernanda Montenegro,0,1,1
Flip Wilson,1,3,2
Forest Whitaker,1,2,2
Fran Drescher,0,2,1
France Nuyen,0,1,1
Frances Conroy,1,1,2
Frances McDormand,1,6,2
Frances O'Connor,0,2,1
Franco Nero,0,1,1
Frank Finlay,0,1,1
Frank Langella,0,2,1
Frank Sinatra,2,3,3
Frankie Muniz,0,2,1
Frankie Shaw,0,1,1
Fred Astaire,2,5,3
Fred MacMurray,0,1,1
Fred Savage,0,2,1
Freddie Highmore,0,1,1
Freddie Prinze,0,1,1
Frederic Forrest,0,2,1
Fredric March,1,3,2
Fyvush Finkel,0,1,1
Gabourey Sidibe,0,1,1
Gabriel Byrne,1,1,2
Gabriella Pallotta,0,1,1
Gael García Bernal,1,2,2
Gail Fisher,2,4,3
Garry Shandling,0,2,1
Gary Busey,0,1,1
Gary Cooper,1,2,2
Gary Grimes,0,1,1
Gary Oldman,1,1,2
Gary Sinise,1,3,2
Gavin MacLeod,0,5,1
Geena Davis,1,4,2
Gena Rowlands,2,8,3
Gene Barry,1,1,2
Gene Hackman,3,8,3
Gene Kelly,0,1,1
Gene Wilder,0,2,1
Geneviève Bujold,1,1,2
Geoffrey Lewis,0,1,1
Geoffrey Rush,2,6,3
George C. Scott,2,6,3
George Chakiris,1,2,2
George Clooney,3,8,3
George Hamilton,1,3,2
George Kennedy,0,2,1
George Lazenby,0,1,1
George Nader,1,1,2
George Sanders,0,1,1
George Segal,2,5,3
Geraldine Chaplin,0,3,1
Geraldine Page,2,9,3
Gig Young,1,2,2
Gilbert Roland,0,2,1
Gillian Anderson,1,5,2
Gina Lollobrigida,0,2,1
Gina Rodriguez,1,3,2
Ginger Rogers,0,1,1
Gladys Knight,0,1,1
Glen Campbell,0,2,1
Glenda Jackson,1,8,2
Glenn Close,3,13,3
Glenn Ford,1,3,2
Gloria Grahame,0,1,1
Gloria Reuben,0,1,1
Gloria Stuart,0,1,1
Gloria Swanson,1,2,2
Glynis Johns,0,1,1
Goldie Hawn,1,9,2
Gordon Thomson,0,1,1
Grace Kelly,2,2,3
Grayson Hall,0,1,1
Greer Garson,1,1,2
Greg Kinnear,0,1,1
Gregory Peck,3,6,3
Gregory Rozakis,0,1,1
Greta Baldwin,0,1,1
Greta Gerwig,0,1,1
Greta Scacchi,0,1,1
Griffin Dunne,0,1,1
Guy Pearce,0,1,1
Gwyneth Paltrow,1,2,2
Gérard Depardieu,1,1,2
Hailee Steinfeld,0,1,1
Haing S. Ngor,1,1,2
Hal Linden,0,4,1
Haley Joel Osment,0,1,1
Halle Berry,1,4,2
Hannah Taylor Gordon,0,1,1
Harold J. Stone,0,1,1
Harold Lloyd,0,1,1
Harrison Ford,0,4,1
Harry Guardino,0,2,1
Harry Hamlin,0,4,1
Harve Presnell,1,1,2
Harvey Keitel,0,1,1
Harvey Korman,1,4,2
Harvey Stephens,0,1,1
Hayden Christensen,0,1,1
Hayden Panettiere,0,2,1
Hayley Atwell,0,1,1
Hayley Mills,1,3,2
Heath Ledger,1,2,2
Heather Locklear,0,6,1
Heather Sears,0,1,1
Hector Elizondo,0,1,1
Helen Hayes,0,2,1
Helen Hunt,4,8,3
Helen Mirren,3,16,3
Helen Reddy,0,1,1
Helena Bonham Carter,0,8,1
Helena Kallianiotes,0,1,1
Helmut Berger,0,1,1
Henry Fonda,1,2,2
Henry Gibson,0,2,1
Henry Thomas,0,2,1
Henry Winkler,2,6,3
Hermione Baddeley,1,1,2
Hermione Gingold,1,2,2
Herschel Bernardi,0,2,1
Herve Villechaize,0,1,1
Hilary Swank,2,3,3
Holly Hunter,1,7,2
Hong Chau,0,1,1
Hope Davis,0,2,1
Hope Lange,0,2,1
Howard E. Rollins Jr.,0,1,1
Hugh Bonneville,0,1,1
Hugh Grant,1,5,2
Hugh Griffith,0,2,1
Hugh Jackman,1,3,2
Hugh Laurie,3,7,3
Hugh O'Brian,1,1,2
Hume Cronyn,0,1,1
Ian Bannen,0,1,1
Ian McKellen,1,3,2
Ian McShane,1,2,2
Ida Kaminska,0,1,1
Idris Elba,1,6,2
Imelda Staunton,0,1,1
Ina Balin,1,2,2
Inga Swenson,0,1,1
Inger Stevens,1,1,2
Ingrid Bergman,3,8,3
Irene Bedard,0,1,1
Irene Cara,0,1,1
Irene Miracle,1,1,2
Isabel Sanford,0,5,1
Isabella Rossellini,0,1,1
Isabelle Huppert,1,1,2
Issa Rae,0,2,1
J. Carroll Naish,1,1,2
J.K. Simmons,1,1,2
Jack Black,0,2,1
Jack Gilford,0,1,1
Jack Klugman,1,2,2
Jack Lemmon,4,22,3
Jack Nicholson,6,17,3
Jack Palance,1,1,2
Jack Weston,0,1,1
Jack Wild,0,1,1
Jacki Weaver,0,1,1
Jackie Gleason,0,3,1
Jackée Harry,0,1,1
Jaclyn Smith,0,1,1
Jacqueline Bisset,1,5,2
Jacques Bergerac,1,1,2
Jaime Pressly,0,1,1
Jake Gyllenhaal,0,2,1
James Brolin,2,6,3
James Caan,0,4,1
James Coco,0,2,1
James Earl Jones,1,5,2
James Farentino,1,1,2
James Fox,0,1,1
James Franciscus,0,1,1
James Franco,2,4,3
James Gandolfini,1,4,2
James Garner,4,12,3
James Mason,1,3,2
James McAvoy,0,1,1
James Nesbitt,0,1,1
James Shigeta,1,1,2
James Spader,0,3,1
James Stewart,1,3,2
James Whitmore,1,2,2
James Woods,1,9,2
Jamie Foxx,1,3,2
Jamie Lee Curtis,2,7,3
Jan Niklas,1,2,2
Jan Sterling,1,1,2
Jan-Michael Vincent,0,2,1
Jane Adams,0,1,1
Jane Alexander,0,3,1
Jane Curtin,0,1,1
Jane Fonda,4,12,3
Jane Horrocks,0,1,1
Jane Kaczmarek,0,3,1
Jane Krakowski,0,1,1
Jane Leeves,0,1,1
Jane Lynch,1,2,2
Jane Morrow,0,1,1
Jane Seymour,2,8,3
Jane Wyman,3,4,3
Janet Leigh,1,1,2
Janet Margolin,0,1,1
Janet McTeer,1,4,2
Janet Munro,1,1,2
Janet Suzman,0,1,1
Janine Turner,0,3,1
January Jones,0,2,1
Jared Harris,0,1,1
Jared Leto,1,1,2
Jason Alexander,0,4,1
Jason Bateman,1,4,2
Jason Isaacs,0,1,1
Jason Lee,0,2,1
Jason Priestley,0,2,1
Jason Robards Jr.,0,5,1
Javier Bardem,1,4,2
Jayne Mansfield,1,2,2
Jean Dujardin,1,1,2
Jean Marsh,0,2,1
Jean Seberg,0,1,1
Jean Simmons,1,6,2
Jean Stapleton,2,9,3
Jeannette Clift,0,1,1
Jeannie Berlin,0,1,1
Jeff Bridges,1,5,2
Jeff Conway,0,2,1
Jeff Daniels,0,4,1
Jeff Richards,1,1,2
Jeffrey Jones,0,1,1
Jeffrey Lynas,0,1,1
Jeffrey Tambor,1,3,2
Jeffrey Wright,1,1,2
Jena Malone,0,1,1
Jenna Elfman,1,3,2
Jennifer Aniston,1,4,2
Jennifer Beals,0,1,1
Jennifer Connelly,1,1,2
Jennifer Garner,1,4,2
Jennifer Grey,0,1,1
Jennifer Hudson,1,1,2
Jennifer Jason Leigh,0,2,1
Jennifer Jones,1,2,2
Jennifer Lawrence,3,4,3
Jennifer Lopez,0,2,1
Jennifer Love Hewitt,0,1,1
Jeremy Irons,2,6,3
Jeremy Piven,1,6,2
Jeremy Renner,0,1,1
Jerry Lewis,0,1,1
Jerry Seinfeld,1,4,2
Jesse Eisenberg,0,1,1
Jessica Alba,0,1,1
Jessica Biel,0,1,1
Jessica Chastain,1,5,2
Jessica Lange,5,16,3
Jessica Tandy,1,4,2
Jessica Walter,0,2,1
Jill Clayburgh,0,4,1
Jill Eikenberry,1,4,2
Jill Haworth,0,1,1
Jill St. John,0,1,1
Jim Broadbent,2,3,3
Jim Carrey,2,7,3
Jim Hampton,0,1,1
Jim Metzler,0,1,1
Jim Nabors,0,1,1
Jim Parsons,1,3,2
Jimmie Walker,0,2,1
Jimmy Durante,0,1,1
Jimmy Smits,1,4,2
JoBeth Williams,0,1,1
Joan Allen,0,3,1
Joan Blondell,0,2,1
Joan Collins,1,6,2
Joan Crawford,0,1,1
Joan Cusack,0,1,1
Joan Greenwood,0,1,1
Joan Hackett,1,1,2
Joan Plowright,2,2,3
Joanna Barnes,0,1,1
Joanna Cassidy,1,1,2
Joanna Pacula,0,1,1
Joanne Froggatt,1,2,2
Joanne Woodward,3,10,3
Joaquin Phoenix,2,6,3
Jocelyn Lagarde,1,1,2
Jodie Comer,0,1,1
Jodie Foster,2,7,3
Joe Adams,1,1,2
Joe Mantegna,0,1,1
Joe Namath,0,1,1
Joe Pesci,0,3,1
Joel Edgerton,0,1,1
Joel Grey,1,2,2
Joely Fisher,0,1,1
Joely Richardson,0,2,1
Joey Heatherton,0,1,1
Joey King,0,1,1
Joey Lauren Adams,0,1,1
John C. Reilly,0,3,1
John Cameron Mitchell,0,1,1
John Cassavetes,0,1,1
John Cazale,0,1,1
John Cleese,0,1,1
John Corbett,0,2,1
John Cusack,0,1,1
John Daly,1,1,2
John David Washington,0,1,1
John Forsythe,2,6,3
John Gavin,1,1,2
John Gielgud,2,3,3
John Goodman,1,5,2
John Hawkes,0,1,1
John Hillerman,1,5,2
John Houseman,1,4,2
John Hurt,1,2,2
John Huston,1,2,2
John James,0,1,1
John Kerr,1,1,2
John Larroquette,0,1,1
John Leguizamo,0,1,1
John Lithgow,2,5,3
John Lone,0,2,1
John Mahoney,0,2,1
John Malkovich,0,3,1
John Marley,0,1,1
John Mills,1,1,2
John Philip Law,0,1,1
John Ritter,1,5,2
John Sarno,0,1,1
John Saxon,1,2,2
John Spencer,0,1,1
John Travolta,1,7,2
John Turturro,0,2,1
John Wayne,1,1,2
Johnny Carson,0,1,1
Johnny Depp,1,10,2
Johnny Galecki,0,1,1
Jon Hamm,2,6,3
Jon Voight,4,11,3
Jonah Hill,0,2,1
Jonathan Kahn,0,1,1
Jonathan Pryce,0,2,1
Jonathan Rhys Meyers,1,3,2
Jonathan Winters,0,1,1
Joseph Bottoms,1,1,2
Joseph Gordon-Levitt,0,2,1
Joseph Schildkraut,0,1,1
Joseph Welch,0,1,1
Josephine Hull,1,1,2
